StationID,Station,VisitDate,Time,Test,Symbol,Stratum,Result,Depth,Lab,FieldID
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Dissolved Organic Carbon,,H,4.5,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Dissolved Phosphorus,,H,6,51,VT,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Dissolved Silica,,H,0.58,51,VT,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Iron,,H,70,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Lead,<,H,10,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Magnesium,,H,3.9,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Ortho-Phosphorus,<,H,2,51,VT,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Potassium,,H,1.4,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Sodium,,H,7.4,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Total Kjeldahl Nitrogen,,H,0.19,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Total Nitrate-Nitrite,,H,0.22,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Total Nitrogen,,H,0.56,51,VT,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Total Organic Carbon,,H,4.2,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Total Phosphorus,,H,10,51,VT,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Total Suspended Solids,,H,1.45,51,VT,9228025
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Alkalinity,,E,48.2,2,VT,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Chloride,,E,10.8,2,VT,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Chlorophyll-a,,,5.89,7.8,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Dissolved Inorganic Carbon,,E,11,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Dissolved Organic Carbon,,E,3.5,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Dissolved Phosphorus,,E,6,2,VT,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Dissolved Silica,<,E,0.1,2,VT,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Iron,,E,20,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Lead,<,E,10,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Magnesium,,E,3.5,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Ortho-Phosphorus,,E,3,2,VT,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Potassium,,E,1.5,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Secchi Depth,,,3.9,,,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Sodium,,E,7.1,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Temperature,,,12,1,,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Total Ammonia,,E,0.026,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Total Kjeldahl Nitrogen,,E,0.15,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Total Nitrate-Nitrite,,E,0.08,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Total Nitrogen,,E,0.56,2,VT,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Total Organic Carbon,,E,3.4,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Total Phosphorus,,E,18,2,VT,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Total Suspended Solids,,E,0.97,2,VT,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Alkalinity,,H,48.4,50,VT,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Chloride,,H,11,50,VT,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Dissolved Inorganic Carbon,,H,12,50,NY,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Dissolved Organic Carbon,,H,3.5,50,NY,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Dissolved Phosphorus,,H,8,50,VT,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Dissolved Silica,,H,0.58,50,VT,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Iron,,H,20,50,NY,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Lead,<,H,10,50,NY,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Magnesium,,H,3.6,50,NY,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Ortho-Phosphorus,,H,4,50,VT,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Potassium,,H,1.4,50,NY,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Sodium,,H,6.7,50,NY,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Total Ammonia,,H,0.009,50,NY,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Total Kjeldahl Nitrogen,,H,0.11,50,NY,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Total Nitrate-Nitrite,,H,0.24,50,NY,9228049
36,Isle LaMotte (off Grand Isle),6/4/92,1210,Total Nitrogen,,H,0.63,50,VT,9228049
